track_name,last_played_date,is_user_initiated,artist_name,track_name_clean
Thomas Newman - Cricket Spell,1728853952572,True,Thomas Newman,Cricket Spell
Thomas Newman - More Than Nothing,1728854094739,False,Thomas Newman,More Than Nothing
Thomas Newman - More Than Nothing,1728854094739,True,Thomas Newman,More Than Nothing
Thomas Newman - Day 22,1728854195982,False,Thomas Newman,Day 22
Thomas Newman - Day 22,1728854195982,True,Thomas Newman,Day 22
Thomas Newman - Mrs. Ainsley,1728854299929,False,Thomas Newman,Mrs. Ainsley
Thomas Newman - Mrs. Ainsley,1728854299929,True,Thomas Newman,Mrs. Ainsley
Thomas Newman - Do Your Worst,1728854408272,False,Thomas Newman,Do Your Worst
Thomas Newman - Do Your Worst,1728854408272,True,Thomas Newman,Do Your Worst
Thomas Newman - Udaipur,1728854658541,False,Thomas Newman,Udaipur
Thomas Newman - Udaipur,1728854658541,True,Thomas Newman,Udaipur
Thomas Newman - Turning Left,1728854779107,False,Thomas Newman,Turning Left
Thomas Newman - Turning Left,1728854779107,True,Thomas Newman,Turning Left
Thomas Newman - Not Yet the End,1728854829708,False,Thomas Newman,Not Yet the End
Thomas Newman - Not Yet the End,1728854829708,True,Thomas Newman,Not Yet the End
Thomas Newman - Progress,1728854991926,False,Thomas Newman,Progress
Thomas Newman - Progress,1728854991926,True,Thomas Newman,Progress
Thomas Newman - Young Wasim,1728855158516,False,Thomas Newman,Young Wasim
Thomas Newman - Young Wasim,1728855158516,True,Thomas Newman,Young Wasim
Thomas Newman - What Happens Instead,1728855215809,False,Thomas Newman,What Happens Instead
Thomas Newman - What Happens Instead,1728855215809,True,Thomas Newman,What Happens Instead
Thomas Newman - A Bit of Afters,1728855448538,False,Thomas Newman,A Bit of Afters
Thomas Newman - A Bit of Afters,1728855448538,True,Thomas Newman,A Bit of Afters
Alan Silvestri - Predator - Main Title from the Motion Picture (Alan Silvestri),1733842915844,False,Alan Silvestri - Predator,Main Title from the Motion Picture (Alan Silvestri)
Britney Spears - Gimme More,1732497614448,False,Britney Spears,Gimme More
Britney Spears - Gimme More,1732497614448,True,Britney Spears,Gimme More
Britney Spears - Radar,1624727213401,False,Britney Spears,Radar
Britney Spears - Radar,1624727213401,True,Britney Spears,Radar
Britney Spears - Ooh Ooh Baby,1624727419974,False,Britney Spears,Ooh Ooh Baby
Britney Spears - Ooh Ooh Baby,1624727419974,True,Britney Spears,Ooh Ooh Baby
Thematic Pianos - Angry Birds Space (The Theme from Angry Birds Space),1606161572004,False,Thematic Pianos,Angry Birds Space (The Theme from Angry Birds Space)
Thematic Pianos - Angry Birds Space (The Theme from Angry Birds Space),1606161572004,True,Thematic Pianos,Angry Birds Space (The Theme from Angry Birds Space)
